Rank,Name,Year,Genre,Publisher
1,Wii Sports,2006,Sports,Nintendo
2,Super Mario Bros.,1985,Platform,Nintendo
3,Mario Kart Wii,2008,Racing,Nintendo
4,Wii Sports Resort,2009,Sports,Nintendo
5,Pokemon Red/Pokemon Blue,1996,Role-Playing,Nintendo
6,Tetris,1989,Puzzle,Nintendo
7,New Super Mario Bros.,2006,Platform,Nintendo
8,Wii Play,2006,Misc,Nintendo
9,New Super Mario Bros. Wii,2009,Platform,Nintendo
10,Duck Hunt,1984,Shooter,Nintendo
11,Nintendogs,2005,Simulation,Nintendo
12,Mario Kart DS,2005,Racing,Nintendo
13,Pokemon Gold/Pokemon Silver,1999,Role-Playing,Nintendo
14,Wii Fit,2007,Sports,Nintendo
15,Wii Fit Plus,2009,Sports,Nintendo
16,Kinect Adventures!,2010,Misc,Microsoft Game Studios
17,Grand Theft Auto V,2013,Action,Take-Two Interactive
18,Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive
19,Super Mario World,1990,Platform,Nintendo
20,Brain Age: Train Your Brain in Minutes a Day,2005,Misc,Nintendo
21,Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,Nintendo
22,Super Mario Land,1989,Platform,Nintendo
23,Super Mario Bros. 3,1988,Platform,Nintendo
25,Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive
26,Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,Nintendo
27,Pokemon Black/Pokemon White,2010,Role-Playing,Nintendo
28,Brain Age 2: More Training in Minutes a Day,2005,Puzzle,Nintendo
29,Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment
30,Call of Duty: Modern Warfare 3,2011,Shooter,Activision
31,Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,Nintendo
32,Call of Duty: Black Ops,2010,Shooter,Activision
33,Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo
34,Call of Duty: Black Ops 3,2015,Shooter,Activision
35,Call of Duty: Black Ops II,2012,Shooter,Activision
37,Call of Duty: Modern Warfare 2,2009,Shooter,Activision
39,Grand Theft Auto III,2001,Action,Take-Two Interactive
40,Super Smash Bros. Brawl,2008,Fighting,Nintendo
42,Animal Crossing: Wild World,2005,Simulation,Nintendo
